#Species (or morphospecies –> Gen sp) collected in 15 winter Oilseed rape sites (edge and middle of the crop -> Treatment) along a 50 m. - 15 minutes transect walk. Each site visited two times (Date). Owner: Ignasi Bartoemus <nacho.bartomeus@gmail.com>
Field	Treatment	Date	Collector	Order	Family	Subfamily	Gen	sp	Sex	Identification
site_14	edge	2013,06,02	O.R.Rubbmark	Coleoptera	Elateridae	NA	Corymbites	sp1	NA	Karol
site_6	crop	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalinus	sepulchralis	female	Karol
site_12	edge	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalinus	sepulchralis	female	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	picea	female	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	picea	female	Karol
site_7	crop	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	picea	female	Karol
site_3	edge	2013,06,01	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	picea	male	Karol
site_15	crop	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	picea	male	Karol
site_4	edge	2013,06,01	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	picea	male	Karol
site_7	crop	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	picea	male	Karol
site_1	edge	2013,05,27	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	picea	male	Karol
site_11	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Syritta	pipiens	male	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	female	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	female	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	female	Karol
site_6	edge	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	male	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	male	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	male	Karol
site_11	crop	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	male	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	male	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	male	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	male	Karol
site_4	edge	2013,06,01	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	male	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	male	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	male	Karol
site_3	edge	2013,06,01	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Rhingia	campestris	male	Karol
site_6	edge	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Heliophilus	pendulus	female	Karol
site_6	edge	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Heliophilus	pendulus	female	Karol
site_6	crop	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Heliophilus	pendulus	female	Karol
site_12	edge	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Heliophilus	pendulus	female	Karol
site_11	crop	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Heliophilus	trivatlatus	female	Karol
site_10	crop	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Heliophilus	hybridus	female	Karol
site_15	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Cheilosia	vicina	female	Karol
site_15	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Cheilosia	gigantea	female	Karol
site_9	edge	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Cheilosia	albitarsis	female	Karol
site_13	edge	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Cheilosia	albitarsis	female	Karol
site_12	edge	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Cheilosia	albitarsis	male	Karol
site_10	edge	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Cheilosia	pagana	female	Karol
site_1	crop	2013,05,27	O.R.Rubbmark	Lepidoptera	NA	NA	Pieris	napi	NA	O.R.Rubbmark
site_1	crop	2013,05,27	O.R.Rubbmark	Lepidoptera	NA	NA	Pieris	napi	NA	O.R.Rubbmark
site_6	crop	2013,05,30	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	ruderarius	NA	O.R.Rubbmark
site_8	crop	2013,06,04	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	ruderarius	NA	O.R.Rubbmark
site_2	crop	2013,05,27	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	ruderarius	NA	O.R.Rubbmark
site_1	edge	2013,05,27	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	ruderarius	NA	O.R.Rubbmark
site_1	crop	2013,05,27	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	ruderarius	NA	O.R.Rubbmark
site_15	edge	2013,05,28	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	ruderarius	NA	O.R.Rubbmark
site_8	edge	2013,05,30	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	terrestris	NA	O.R.Rubbmark
site_1	crop	2013,06,02	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	terrestris	NA	O.R.Rubbmark
site_5	crop	2013,06,04	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	terrestris	NA	O.R.Rubbmark
site_6	crop	2013,06,04	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	terrestris	NA	O.R.Rubbmark
site_6	edge	2013,05,30	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	terrestris	NA	O.R.Rubbmark
site_7	edge	2013,05,30	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	terrestris	NA	O.R.Rubbmark
site_6	crop	2013,06,04	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	terrestris	NA	O.R.Rubbmark
site_11	crop	2013,06,02	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	hortorum	NA	O.R.Rubbmark
site_6	edge	2013,06,04	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	pascuorum	NA	O.R.Rubbmark
site_7	crop	2013,06,04	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	lucorum	NA	O.R.Rubbmark
site_15	crop	2013,06,02	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	lucorum	NA	O.R.Rubbmark
site_8	crop	2013,05,30	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	lucorum	NA	O.R.Rubbmark
site_8	crop	2013,05,30	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	lucorum	NA	O.R.Rubbmark
site_6	crop	2013,05,30	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	lucorum	NA	O.R.Rubbmark
site_2	edge	2013,06,01	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	lucorum	NA	O.R.Rubbmark
site_1	crop	2013,05,27	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	lapidarius	NA	O.R.Rubbmark
site_6	edge	2013,05,30	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	lapidarius	NA	O.R.Rubbmark
site_8	edge	2013,05,30	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	lapidarius	NA	O.R.Rubbmark
site_10	crop	2013,05,31	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	lapidarius	NA	O.R.Rubbmark
site_15	edge	2013,05,28	O.R.Rubbmark	Hymenoptera	NA	NA	Bombus	lapidarius	NA	O.R.Rubbmark
