code,file_field,file_insect,Credit,author_folder,Location,Raw_data_Folder,
Winfree_griffin_2010,field_level_data_Winfree_griffin_2010.csv,insect_sampling_Winfree_griffin_2010.csv,"Rachael Winfree, Neal M. Williams, Jonathan Dushoff, and Claire Kremen",Rachael Winfree,RADER 2016 DATABASE,Individual CSV,
Winfree_griffin_2011,field_level_data_Winfree_griffin_2011.csv,insect_sampling_Winfree_griffin_2011.csv,"Rachael Winfree, Neal M. Williams, Jonathan Dushoff, and Claire Kremen",Rachael Winfree,RADER 2016 DATABASE,Individual CSV,
Winfree_griffin_2012,field_level_data_Winfree_griffin_2012.csv,insect_sampling_Winfree_griffin_2012.csv,"Rachael Winfree, Neal M. Williams, Jonathan Dushoff, and Claire Kremen",Rachael Winfree,RADER 2016 DATABASE,Individual CSV,
zouy01,field_level_data_zouy01.csv,insect_sampling_zouy01.csv,Wageningen University,Yi Zou,DAINESE 2019 DATABASE,DATASETS,
stanley_stout_2dataset_2009,field_level_data_stanley_stout_2dataset_2009.csv,insect_sampling_stanley_stout_2dataset_2009.csv,"Dara Stanley NUI Galway, Jane Stout (Trinity College Dublin)",Dara Stanley,RADER 2016 DATABASE,Individual CSV,
Marcos_Miñarro_Malus_domestica_Spain_2015,field_level_data_Marcos_Miñarro_Malus_domestica_Spain_2015.csv,insect_sampling_Marcos_Miñarro_Malus_domestica_Spain_2015.csv,"Marcos Miñarro, Daniel García",Marcos Miñarro,Marcos_Miñarro_Malus_domestica_Spain_several_years,,
Marcos_Miñarro_Malus_domestica_Spain_2016,field_level_data_Marcos_Miñarro_Malus_domestica_Spain_2016.csv,insect_sampling_Marcos_Miñarro_Malus_domestica_Spain_2016.csv,"Marcos Miñarro, Daniel García",Marcos Miñarro,Marcos_Miñarro_Malus_domestica_Spain_several_years,,
Alejandro_Trillo_Fragaria_ananassa_Spain_2016,field_level_data_Alejandro_Trillo_Fragaria_ananassa_Spain_2016.csv,insect_ampling_Alejandro_Trillo_Fragaria_ananassa_Spain_2016.csv,"Alejandro Trillo, José M. Herrera, Montserrat Vilà ",Alejandro Trillo,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,,
Amparo_Lázaro_Prunus_dulcis_Spain_2015,field_level_data_Amparo_Lázaro_Prunus_dulcis_Spain_2015.csv,,"Amparo Lázaro, David Alomar, Miguel A. González-Estévez",Amparo Lázaro,Amparo_Lázaro_Prunus_dulcis_several_years,,
Amparo_Lázaro_Prunus_dulcis_Spain_2016,field_level_data_Amparo_Lázaro_Prunus_dulcis_Spain_2016.csv,,"Amparo Lázaro, David Alomar, Miguel A. González-Estévez",Amparo Lázaro,Amparo_Lázaro_Prunus_dulcis_several_years,,
Katrine_Hansen_Psidium_guajava_Thailand_several_years,field_level_data_Katrine_Hansen_Psidium_guajava_Thailand_several_years.csv,insect_sampling_Katrine_Hansen_Psidium_guajava_Thailand_several_years.csv,"Katrine Hansen, Tuanjit Sritongchuay, Benno I. Simmons and Bo Dalsgaard",Katrine Hansen,Katrine_Hansen_Psidium_guajava_Thailand_several_years,,
Charlie_Nicholson_Vaccinium_corymbosum_USA_several_years,field_level_data_Charlie_Nicholson_Vaccinium_corymbosum_USA_several_years.csv,insect_sampling_Charlie_Nicholson_Vaccinium_corymbosum_USA_several_years.csv,"Charlie C. Nicholson, Taylor H. Ricketts",Charlie C. Nicholson,Charlie_Nicholson_Vaccinium_corymbosum_USA_several_years,,
Bryony_Willcox_several_crops_Australia_several_years,field_level_data_Bryony_Willcox_several_crops_Australia_several_years.csv,insect_sampling_Bryony_Willcox_several_crops_Australia_several_years.csv,"Bryony Willcox, Romina Rader, Andrew Robson, Brad Howlett",Bryony Willcox,Bryony_Willcox_several_crops_Australia_several_years,,
Silvia_Castro_Helianthus_annuus_Spain_2017,field_level_data_Silvia_Castro_Helianthus_annuus_Spain_2017.csv,insect_sampling_Silvia_Castro_Helianthus_annuus_Spain_2017.csv,"Sílvia Castro, Lucie Mota, João Loureiro, Evan Marks",Sílvia Castro,Silvia_Castro_Helianthus_annuus_Spain_several_years,,
Silvia_Castro_Helianthus_annuus_Spain_2018,field_level_data_Silvia_Castro_Helianthus_annuus_Spain_2018.csv,insect_sampling_Silvia_Castro_Helianthus_annuus_Spain_2018.csv,"Sílvia Castro, Lucie Mota, João Loureiro, Evan Marks",Sílvia Castro,Silvia_Castro_Helianthus_annuus_Spain_several_years,,
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,field_level_data_Silvia_Castro_Actinidia_deliciosa_Portugal_2018.csv,insect_sampling_Silvia_Castro_Actinidia_deliciosa_Portugal_2018.csv,"Helena Castro, Hugo Gaspar, Sílvia Castro, João LouLoureiro",Sílvia Castro,Silvia_Castro_Actinidia_deliciosa_Portugal_several_years,,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,field_level_data_Silvia_Castro_Actinidia_deliciosa_Portugal_2019.csv,insect_sampling_Silvia_Castro_Actinidia_deliciosa_Portugal_2019.csv,"Helena Castro, Hugo Gaspar, Sílvia Castro, João Loureiro",Sílvia Castro,Silvia_Castro_Actinidia_deliciosa_Portugal_several_years,,
