OrganismID,Family
Ladybird sp4,Coccinellidae
Ladybirds,Coccinellidae
Ladybug,Coccinellidae
Large Andrena ap. ,Andrenidae
Large Andrena sp. ,Andrenidae
Lasioglossum,Halictidae
Lasioglossum  disparile,Halictidae
Lasioglossum (Dialictus) sp. Ba,Halictidae
Lasioglossum (Dialictus) sp. C,Halictidae
Lasioglossum (Dialictus) sp. D,Halictidae
Lasioglossum (Dialictus) sp. E,Halictidae
Lasioglossum (Dialictus) spp.,Halictidae
Lasioglossum (Evylaeus) sp. AS-E1,Halictidae
Lasioglossum (Evylaeus) sp. B,Halictidae
Lasioglossum (Evylaeus) sp. E,Halictidae
Lasioglossum (Evylaeus) sp. I,Halictidae
Lasioglossum (Evylaeus) sp. R,Halictidae
Lasioglossum (Evylaeus) spp.,Halictidae
Lasioglossum abanci,Halictidae
Lasioglossum admirandum,Halictidae
Lasioglossum aeratum,Halictidae
Lasioglossum albipenne,Halictidae
Lasioglossum albipes,Halictidae
Lasioglossum albipes,NA
Lasioglossum anomalum,Halictidae
Lasioglossum atwoodi,Halictidae
Lasioglossum bimaculatum,Halictidae
Lasioglossum bruneri,Halictidae
Lasioglossum calceatum,Halictidae
Lasioglossum calceatum,NA
Lasioglossum calceatum,Apidae
Lasioglossum cinctipes,Halictidae
Lasioglossum coactum,Halictidae
Lasioglossum coeruleum,Halictidae
Lasioglossum connexum,Halictidae
Lasioglossum coriaceum,Halictidae
Lasioglossum cressonii,Halictidae
Lasioglossum cupromicans,Halictidae
Lasioglossum dialictus sp.,Halictidae
Lasioglossum dialictus sp. TX 16,Halictidae
Lasioglossum discum,Halictidae
Lasioglossum ephialtum,Halictidae
Lasioglossum ephialtum complex spp,Halictidae
Lasioglossum fedorense,Halictidae
Lasioglossum foveolatum,Halictidae
Lasioglossum foxii,Halictidae
Lasioglossum fulvicorne,NA
Lasioglossum fulvicorne,Halictidae
Lasioglossum hitchensi,Halictidae
Lasioglossum hunteri,Halictidae
Lasioglossum illinoense,Halictidae
Lasioglossum imitatum,Halictidae
Lasioglossum incompletum,Halictidae
Lasioglossum interruptum,Halictidae
Lasioglossum kincaidii,Halictidae
Lasioglossum knereri,Halictidae
Lasioglossum kumejimense ,Halictidae
Lasioglossum laevigatum,Halictidae
Lasioglossum laterale,Halictidae
Lasioglossum laticeps,Halictidae
Lasioglossum lativentre,Halictidae
Lasioglossum lativentre,NA
Lasioglossum leavissimum,Halictidae
Lasioglossum leucocomum,Halictidae
Lasioglossum leucopus,Halictidae
Lasioglossum leucopus,NA
Lasioglossum leucozonium,NA
Lasioglossum leucozonium,Halictidae
Lasioglossum lineatulum,Halictidae
Lasioglossum malachurum,Halictidae
Lasioglossum malachurum,Apidae
Lasioglossum minutissimum,Halictidae
Lasioglossum minutissimum ,Halictidae
Lasioglossum minutula,Halictidae
Lasioglossum morio,Halictidae
Lasioglossum nevadense,Halictidae
Lasioglossum nigroviridae,Halictidae
Lasioglossum nitidiusculum,NA
Lasioglossum obscurum,Halictidae
Lasioglossum occidens,Halictidae
Lasioglossum olympiae,Halictidae
Lasioglossum paradmirandum,Halictidae
Lasioglossum paraforbesii,Halictidae
Lasioglossum parvulum,Halictidae
Lasioglossum pauperatum,Halictidae
Lasioglossum pauxillum,Halictidae
Lasioglossum pectorale,Halictidae
Lasioglossum perpunctatum,Halictidae
Lasioglossum pilosum,Halictidae
Lasioglossum platyparium,Halictidae
Lasioglossum politum,Halictidae
Lasioglossum proximatum,Halictidae
Lasioglossum punctatissimum,Halictidae
Lasioglossum punctatoventre,Halictidae
Lasioglossum puncticolle,Halictidae
Lasioglossum pygmaeum,Halictidae
Lasioglossum quadrinotatum,Halictidae
Lasioglossum quadrinotatum,NA
Lasioglossum quebecense,Halictidae
Lasioglossum rufitarse,Halictidae
Lasioglossum rufitarse,NA
Lasioglossum scitulum,Halictidae
Lasioglossum sedi,Halictidae
Lasioglossum sexnotatum,Halictidae
Lasioglossum sibiriacum,Halictidae
Lasioglossum sisymbrii,Halictidae
Lasioglossum smeathmanellum,Halictidae
Lasioglossum smilacinae,Halictidae
Lasioglossum sp,Halictidae
Lasioglossum sp.,Halictidae
Lasioglossum sp. 1,Halictidae
Lasioglossum sp. 10f,Halictidae
Lasioglossum sp. 11,Halictidae
Lasioglossum sp. 13,Halictidae
Lasioglossum sp. 14,Halictidae
Lasioglossum sp. 14f,Halictidae
Lasioglossum sp. 16f,Halictidae
Lasioglossum sp. 18f,Halictidae
Lasioglossum sp. 2,Halictidae
Lasioglossum sp. 20,Halictidae
Lasioglossum sp. 24m,Halictidae
Lasioglossum sp. 26f,Halictidae
Lasioglossum sp. 3,Halictidae
Lasioglossum sp. 36f,Halictidae
Lasioglossum sp. 4,Halictidae
Lasioglossum spp.,Halictidae
Lasioglossum subhirtum,Halictidae
Lasioglossum subopatum,Halictidae
Lasioglossum tegulare,Halictidae
Lasioglossum tegulariforme,Halictidae
Lasioglossum versatum,Halictidae
Lasioglossum villosulum,Halictidae
Lasioglossum weemsi,Halictidae
Lasioglossum xanthopus,Halictidae
Lasioglossum zephyrum,Halictidae
Lasioglossum zonulum,Halictidae
Lasioglossum zonulun,Halictidae
Lasioglossum.calceatum,NA
Lasioglossum.fulvicorne,NA
Lasioglossum.interruptum,NA
Lasioglossum.laticeps,NA
Lasioglossum.malachurum,NA
Lasioglossum.marginatum,NA
Lasioglossum.morio,NA
Lasioglossum.pallens,NA
Lasioglossum.pauxillum,NA
Lasioglossum.villosulum,NA
Lasioglossum_ albipes/calceatum,Halictidae
Lasioglossum_ malachurum,Halictidae
Lasioglossum_ spec.,Halictidae
Lasioglossum_sp1_cf_,Halictidae
Lasiolgossum sp. 3,Halictidae
Lathrididae sp.,Lathrididae
Lejogaster metallina,Syrphidae
Lejogaster tarsata,Syrphidae
Lepidoptera,NA
Lepidoptera,Lepidoptera
Lepidoptera sp 1,NA
Lepidoptera sp 1,Unknown
Lepidoptera sp 2,NA
Lepidoptera sp 3,NA
Lepidoptera sp 5,NA
Lepidoptera sp.,ni
Lepidoptera sp1,Crambidae
Lepidoptera sp3,NA
Lepidoptera sp4,NA
Lepidoptera spp.,NA
Lepidoptera spY,ni
Lepidoptera white,ni
Lepidotera,Lepidoptera
Lepisiota_sp_2_,Formicidae
Lerodae eufala,Hesperiidae
Libytheana carinenta,Nymphalidae
Ligaidae,NA
Ligaidae ,NA
Limnophora septentrionalis,Muscidae
Lindenius albilabris,Crabronidae
Lipotriches sp. 8,Halictidae
Lipotriches yasumatsui,Halictidae
Lithurgus huberi,Megachilidae
Lithurgus pullatus (Vachal),Megachilidae
Loricara.pilicornis,NA
Lucilia ampullacea,Calliphoridae
Lucilia caesar,Calliphoridae
Lucilia papuensis,Calliphoridae
Lucilia sp,Calliphoridae
Lucillia sp,Calliphoridae
Lycaena phlaeas,Lycaenidae
Lycidae,NA
Macrocoma_sp__near_apicicornis,Chrysomelidae
Macrogalea candida,Apidae
Macrogalea candida (Smith),Apidae
Macroglossum trochilus (Hubner),Sphingidae
Malachiinae sp1,MELYRIDAE: MALACHIINAE
Malachiinae_sp1,Melyridae
Mallota tricolor?,Syrphidae
Manuelia gayatina,Apidae
Manuelia gayi,Apidae
Mariposa alas transparentes,NA
Mariposa gris chiquita,NA
Mariposa marron grande,NA
Mariposa marron pequeña,NA
Mariposa monarca,NA
May fly,NA
Megacampsomeris grossa,Scoliidae
Megachile albitarsis,Megachilidae
Megachile brevis,Megachilidae
Megachile deflexa,Megachilidae
Megachile frontalis cf.,Megachilidae
Megachile hera,Megachilidae
Megachile humilis,Megachilidae
Megachile melanophaea,Megachilidae
Megachile montivaga,Megachilidae
Megachile onobrychidis,Megachilidae
Megachile parallela,Megachilidae
Megachile relativa,Megachilidae
Megachile rotundata,Megachilidae
Megachile sp,Megachilidae
Megachile sp. 1f,Megachilidae
Megachile tsurugensis,Megachilidae
Megachile versicolor,Megachilidae
Megachilid,Megachilidae
Megachilidae,Megachilidae
Megachillid,Megachilidae
Megalopta sp.,Halictidae
Megascolia maculata,Scoliidae
Melandrena,Andrenidae
Melandrena sp,Andrenidae
Melanogaster aerosa,Syrphidae
Melanogaster_ hirtella,Syrphidae
Melanogaster_aerosa,Syrphidae
Melanostoma,Syrphidae
Melanostoma mellinum,Syrphidae
Melanostoma mellinum,NA
Melanostoma scalare,Syrphidae
Melanostoma sp.,Syrphidae
Melanostoma.mellinum,NA
Melanostoma.scalare,NA
Melanostoma.spec.,NA
Melanostoma_ mellinum,Syrphidae
Melanostoma_ scalare,Syrphidae
Melanostoma_ spec.,Syrphidae
Melanostoma_mellinum,Syrphidae
Meligethes sp.,Nitidulidae
Meligethies.anaeus,NA
Melinda okazakii,Muscidae
Melipona subnitida,Apidae
Meliponini,Apidae
Meliponini sp. 1,Apidae
Meliponula ferruginea,Apidae
Melissodes lupina,Apidae
Melissodes robustior,Apidae
Melissodes tepanaca,Apidae
Melissoptila uncicornis,Apidae
Melitoma aff. segmentaria,Apidae
Melitoma marginella,Apidae
Melitomella grisescens,Apidae
Melitomella murihirta,Apidae
Melitta leporina,Melittidae
Melolonthidae,Melolonthidae
Melyridae sp1,Melyridae
Merodon equestris,NA
Merodon equestris,Syrphidae
Merodon_equestris,Syrphidae
Mesembrius sp,Syrphidae
Microgastrinae,Braconidae
Milesia crabroniformis,Syrphidae
Milesia sp. 1,Syrphidae
Mirid Bug,Miridae
Miris striatus,Miridae
Mischicyttatus rotundicollis,Vespidae
Monolepta australis,Chrysomelidae
Monolepta citrinella Jacoby,CHRYSOMELIDAE: GALERUCINAE
Monolepta_ursulae_Wagner_2003,Chrysomelidae
Mordellinae sp1,MORDELLIDAE: MORDELLINAE
Mosca brillante,NA
Mosca brillante  ,NA
Mosca domestica,NA
Mosca gris lomo rayado,NA
moth sp3,ni
moth sp5,ni
Musca domestica,Muscidae
Musca hervei,Muscidae
Muscidae,Muscidae
Muscidae (like a house fly), Muscidae
Muscidae sp 1,Muscidae
Muscidae sp1,Muscidae
Muscidae..inc.Musca_domestica_L.,Muscidae
Mutillidae sp.1,Vespidae
Myathropa florea,Syrphidae
Myorhina ugamskii,Sarcophagidae
Myorhina uniseta,Sarcophagidae
Nannotrigona testaceicornes ,Apidae
native_bee,NA
native_bumble_bee,NA
Nebria.brevicollis,NA
Nebria.salina,NA
Nematocera,Nematocera fam.
Nemotelus nigrinus,Stratiomyidae
Neoascia geniculata,Syrphidae
Neoascia podagrica,Syrphidae
Neoascia tenur,Syrphidae
Neocnemodon_ vitripennis,Syrphidae
Neomyia timorensis,Muscidae
Neophryxe psychidis,Tachinidae
Nephrotoma spp.,Tipulidae
Neuroptera sp.2,NA
Nezara viridula,Pentatomidae
Nitulidae_sp_,Nitulidae
Nomada,Apidae
Nomada armatella,Apidae
Nomada bethunei,Apidae
Nomada bidentate,Apidae
Nomada cressonii,Apidae
Nomada denticulata,Apidae
Nomada depressa,Apidae
Nomada fabricana,Apidae
Nomada fabriciana,Apidae
Nomada flavoguttata,Apidae
Nomada fucata,Apidae
Nomada goodeniana,Apidae
Nomada gracilis,Apidae
Nomada luteoloides,Apidae
Nomada marshamella,NA
Nomada marshamella,Apidae
Nomada melathoracica,Apidae
Nomada meridionalis,Apidae
Nomada parva,Apidae
Nomada ruficornis,Apidae
Nomada ruficornis ,NA
Nomada sp,Apidae
Nomada sp.,Apidae
Nomada sp1,Apidae
Nomada sp2,Apidae
Nomada striata,Apidae
Nomada versicolor,Apidae
Nomada.flavoguttata,NA
Nomiapis bispinosa,Apidae
Nomiapis diversipes,Halictidae
Non identified bee,Non identified
Notiophilus.aestuans,NA
Notiophilus.palustris,NA
Ocyptamus gastrostactus,Syrphidae
Odonata sp.1,NA
Odonata sp.2,NA
Odonata spp.,Odonata fam.
Oecophylla smaragdina,Formicidae
Oedemera lurida,Oedemeridae
Oedemera spp.,Oedemeridae
Omicron sp.1,Vespidae
Onesia nartshukae　complex,Calliphoridae
Onesia pusilla,Calliphoridae
Oreumenes decoratus,Vespidae
Ornidia obesa,Syrphidae
Ornidia obessa,Syrphidae
Orthonevra geniculata,Syrphidae
Orthonevra nobilis,Syrphidae
Orthoptera sp.1,NA
Osmia,Megachilidae
Osmia albiventris,Megachilidae
Osmia atriventris,Megachilidae
Osmia atrocyanea,Megachilidae
Osmia aurulenta,Megachilidae
Osmia bicolor,Megachilidae
Osmia bicolor,Apidae
Osmia bicornis,Megachilidae
Osmia bicornis,Apidae
Osmia bucephala,Megachilidae
Osmia conjuncta,Megachilidae
Osmia cornifrons,Megachilidae
Osmia cornuta,Megachilidae
Osmia cyanella,Megachilidae
Osmia inermis,Megachilidae
Osmia lignaria,Megachilidae
Osmia ligurica,Megachilidae
Osmia michiganensis,Megachilidae
Osmia pumila,Megachilidae
Osmia rufa,Megachilidae
Osmia sp,Megachilidae
Osmia sp.,Apidae
Osmia sp. ,Megachilidae
Osmia sp1,Megachilidae
Osmia spinulosa,Megachilidae
Osmia subfasciata,Megachilidae
Osmia taurus,Megachilidae
Osmia.bicornis,NA
Osmia_ bicornis,Megachilidae
Osmia_ rufa,Megachilidae
other,NA
other  bee,Apidae
Other Coleoptera (>3mm),Coleoptera fam.
Other Diptera (>3mm),Diptera fam.
Other Hemiptera (>3mm),Hemiptera fam.
Other Hymenoptera (>3mm),Hymenoptera fam.
Other solitary bee,Hymenoptera
Other Solitary wasp,Aculeata fam.
other.diptera,NA
other.syrphidae,NA
other_Diptera,NA
Other_Dipterans,Diptera
other_fly,NA
"Oxaea flavescens Klug, 1807",Andrenidae (Oxaeinae)
Pagurodactylus_sp2,Melyridae
Pales sp.,Tachinidae
Palpada furcata,Syrphidae
Palpada mexicana,Syrphidae
Palpada pygolampus,Syrphidae
Palpada vinetorum,Sirfidae
Panurginus sp.,Andrenidae
Papilio thoas,papilionidae
Paragus jazanus,Syrphidae
Paragus longiventris,SYRPHIDAE
Paragus quadrifasciata,Syrphidae
Paragus quadrifasciatus,Syrphidae
Pararge aegeria,Leipdoptera
Parasarcophaga albiceps,Sarcophagidae
Parasarcophaga similis,Sarcophagidae
Parasarcophaga unguitigris,Sarcophagidae
Parasitica,NA
parasitoid_wasp,NA
Parasitoids,Parasitica fam.
Parasyrphus annulatus,Syrphidae
Parasyrphus lineolus,Syrphidae
Parasyrphus macularis,Syrphidae
Parasyrphus.annulatus,NA
Paratrigona lineata,Apidae
"Paratrigona lineata Lepeletier, 1836",Apidae
Paravespula sp.,Vespidae
Parhelophilus frutetorum,Syrphidae
Parnara guttata,Hesperiidae
Parophonus.maculicornis,NA
Partamona sp.,Apidae
Partamona sp.1,Apidae
Patellapis sp. 4,Halictidae
Pedinorrhina__Chondrorrhina__trivittata__Schaum,Scarabaeidae
Pelopidas mathias,Hesperiidae
Pemphredon inornata,Crabronidae
Pemphredon lethifer,Crabronidae
Penthetria japonica,Bibionidae
Pepsis sp.,Pompilidae
Phoebis neocypris,Hesperiidae
Phyciodes tharos,Nymphalidae
Phyllopertha horticola,Scarabaeidae
Phytomia zonata,Syrphidae
Pieris canidia (Indian cabbage white),Pieridae
Pieris rapae,Pieridae
Pieris_brassicae,Pieridae
Pieris_napi,Lepidoptera
Pipiza noctiluca,Syrphidae
Pipiza quadrimaculata,Syrphidae
Pipiza sp.,Syrphidae
Pipiza_ noctiluca,Syrphidae
Pipizella viduata,Syrphidae
Pipizella_ viduata,Syrphidae
Pirpinto amarillo,NA
Platycheirus,Syrphidae
Platycheirus albimanus,Syrphidae
Platycheirus angustatus,Syrphidae
Platycheirus cf. ambiguus,Syrphidae
Platycheirus clypeatus,Syrphidae
Platycheirus fulviventris,Syrphidae
Platycheirus manicatus,Syrphidae
Platycheirus manicatus,NA
Platycheirus occultus,Syrphidae
Platycheirus peltatus,Syrphidae
Platycheirus scambus,Syrphidae
Platycheirus sp.,Syrphidae
Platycheirus tarsalis,Syrphidae
Platycheirus.albimanus,NA
Platycheirus.scutatus,NA
Platycheirus/Melanostoma_ spec.,Syrphidae
Platycheirus_ albimanus,Syrphidae
Platycheirus_ ambiguus,Syrphidae
Platycheirus_ cf. scutatus,Syrphidae
Platycheirus_ peltatus,Syrphidae
Platycheirus_ scutatus,Syrphidae
Platycheirus_albimanus,Syrphidae
Platycheirus_nielseni,Syrphidae
Platycheirus_peltatus,Syrphidae
Platycheirus_scambus,Syrphidae
Platycheirus_sp,Syrphidae
Platynus.assimilis,NA
Playcheirus_ spec.,Syrphidae
Plebeia sp,Apidae
Plebeia sp.1,Apidae
Plecia sp,Bibionidae
Plecoptera spp.,Plecoptera fam.
Plutella xylostella,Plutellidae
Poecilus.cupreus,NA
Poecilus.versicolor,NA
Polistes bischoffi,Vespidae
Polistes dominula,Vespidae
Polistes hebraeus,Vespidae
Polistes nipponensis,Vespidae
Polistes rothneyi,Vespidae
Polistes snelleni,Vespidae
Polistes sp2,Vespidae
Pollen beetle,Nitidulidae
Polybia dimidiata,Vespidae
Polybia ignobilis,Vespidae
Polybia sericea,Vespidae
Polybia sp.1,Vespidae
Polybia sp.2,Vespidae
Polytremis pellucida,Hesperiidae
POMPILIDAE_cf,POMPILIDAE
Pompillidae sp 1,Pompillidae
Pseudapis sp. 1,Halictidae
Pseudodorus clavatus,Syrphidae
Pterostichus.anthracinus,NA
Pterostichus.melanarius,NA
Pterostichus.nigrita,NA
Pterostichus.vernalis,NA
Ptilothrix bombiformis,Apidae
Ptilothrix plumata,Apidae
Pyrgus communis/albescens,Hesperiidae
Rhingia campestris,Syrphidae
Rhingia.campestris,NA
Rhingia_ campestris,Syrphidae
Rhyncomya forcipata,Calliophoridae
Ripiphoridae,Ripiphoridae
Rove beetle,Staphylinidae
Ruizantheda proxima,Halictidae
Ruizanthedella mutabilis,Halictidae
Sarcophaga albiceps,Sarcophagidae
Sarcophaga horii,Sarcophagidae
Sarcophaga melanur,Sarcophagidae
Sarcophaga peregrina,Sarcophagidae
Sarcophaga septentrionalis,Sarcophagidae
Sarcophagidae ,Sarcophagidae
Sarcophagidae sp 1,Sarcophagidae
Sarcophagidae sp.,Sarcophagidae
Sarcophagidae.sp,Sarcophagidae
Sargus iridatus,Stratiomyidae
Saw flies,Symphyta fam.
Scaeva pyrastri,Syrphidae
Scaeva selenitica,Syrphidae
Scaeva_pyrastri,Syrphidae
Scaptotrigona sp.1,Apidae
Sciaridae sp,Sciaridae
Sciaridae sp,Sciaridae sp
Scolia oculata,Scoliidae
Scoliidae sp.1,Vespidae
Scoliidae sp1,Scoliidae
Scoliidae sp2,Scoliidae
"Scymnus cf. capicola Casey, 1899",COCCINELLIDAE:SCYMNINAE: SCYMNINI
Senaspis haemorrhoa,Syrphidae
Sepedon aenescens,Sciomyzidae
Sericomyia silentis,Syrphidae
Sericomyia_silentis,Syrphidae
Shield Bugs,Pentatomoidea
Small Andrena sp. ,Andrenidae
Social wasps,Vespidae
solitary bee,Apoidea
Solitary bee unknown or unidentified,Apoidea fam.
solitary.bee,NA
Specodes sp. ,Halictidae
Sphaerophoria interrupta,Syrphidae
Sphaerophoria philanta,Syrphidae
Sphaerophoria rueppelli,Syrphidae
Sphaerophoria scripta,Syrphidae
Sphaerophoria scripta,NA
Sphaerophoria sp.,Syrphidae
Sphaerophoria sp. 2,Syrphidae
Sphaerophoria sp.1,Syrphidae
Sphaerophoria taeniata,Syrphidae
sphaerophoria.sp,NA
Sphaerophoria.spec.,NA
Sphaerophoria_batava,Syrphidae
Sphaerophoria_scripta,Syrphidae
Sphaerophoria_sp,Syrphidae
Sphaerophoria_taeniata,Syrphidae
Sphecidae sp1,Sphecidae
Sphecodes cressoni,Halictidae
Sphecodes ephippius,NA
Sphecodes ephippius,Halictidae
Sphecodes ephippius,Apidae
Sphecodes geoffrellus,Halictidae
Sphecodes monilicornis,Halictidae
Sphecodes nambui,Halictidae
Sphecodes niger,Halictidae
Sphecodes sp.,Halictidae
Sphecodes sp. B,Halictidae
Sphecodes sp. CK-SC-1,Halictidae
Sphecodes sp3,Halictidae
Sphecodes sp4,Halictidae
Sphiximorpha subsessilis,Syrphidae
spider,Araneae fam.
Spider,Aranea (order)
Staphilinidae_sp_,Staphilinidae
Staphylinidae,NA
Stenolophus.teutonus,NA
Stenotabanus sp?,Tabanidae
Stick insect,NA
Stilt bug,Berytidae
Stip of streep fopwesp,Vespidae
Stomis.pumicatus,NA
Stomorhina discolour,Rhiniidae
Stomorhina obsoleta,Calliphoridae
Stomorhina sp 1,Rhiniidae
Stomorhina xanthogaster,Rhiniidae
Stratiomyidae sp.2 ,Stratiomyidae
Stratiomys japonica,Stratiomyiidae
Strymon melinus,Lycaenidae
Svastra atripes,Apidae
Svastra obliqua,Apidae
Svastra petulca,Apidae
Symphyta,Symphyta
Symphyta sp1,NA
Synoeca cyanea,Vespidae
Syrhipds,Syrpidae
Syritta pipiens,Syrphidae
Syritta pipiens,NA
Syritta sp,Syrphidae
Syritta.pipiens,NA
Syritta_ pipiens,Syrphidae
Syritta_pipiens,Syrphidae
Syritta_sp1,Syrphidae
Syrphid- Honeybee mimic,Syrphidae
Syrphid sp.,Syrphidae
Syrphid sp. 2,Syrphidae
Syrphidae,Syrphidae
Syrphidae,NA
Syrphidae (hover fly),Syrphidae
Syrphidae sp 1,Syrphidae
Syrphidae sp.,Syrphidae
Syrphidae sp1,Syrphidae
Syrphidae sp2,Syrphidae
Syrphidae sp20,Syrphidae
Syrphidae sp3,Syrphidae
Syrphidae sp4,Syrphidae
Syrphidae_sp_,Syrphidae
Syrphido,NA
Syrphus ribesii,Syrphidae
Syrphus ribessi,Syrphidae
Syrphus torvus,Syrphidae
Syrphus vitripennis,Syrphidae
Syrphus.ribesii,NA
Syrphus.torvus,NA
Syrphus.vitripennis,NA
Syrphus_ ribesii,Syrphidae
Syrphus_ spec.,Syrphidae
Syrphus_ vitripennis,Syrphidae
Syrphus_ribesii,Syrphidae
Syrphus_vitripennis,Syrphidae
Tachinidae sp 1,Tachinidae
Tachinidae sp 2,Tachinidae
Tachinidae sp.,Tachinidae
Tachinidae sp.1,Tachinidae
Tachys.bistriatus,NA
Tachytes etruscus,Sphecidae
Tachytes fruticis,Crabronidae
talvez_Allograpta_calopus_,Syrphidae
Tenebrionidae sp,Tenebrionidae
Tetragonula carbonaria,Apidae
Tetragonula iridipennis,Apidae
Tetragonula_iridipennis,Apidae
Tetralonia mitsukurii,Apidae
Tetralonia sp. 1f,Apidae
Tetraloniella ? apicalis (Friese),Apidae
Tetramorium_sp_1_,Formicidae
Thoressa varia,Hesperiidae
Thyreus smithii,Apidae
Thysanoptera (Thrips),Aeolothripidae?
Tiphiidae sp 1,Tiphiidae
Tiphiidae sp.4,Tiphiidae
Tipulidae,Tipulidae
Tipulidae sp 1,Unknown
Tipulidae spp.,Tipulidae
Toxomerus floralis,Syrphidae
Toxomerus politus,Syrphidae
Toxomerus sp1,Syrphidae
Toxomerus sp2,Syrphidae
Trechus.quadristriatus,NA
Trichotichnus.nitens,NA
Triepeolus concavus,Apidae
Trigona fuscipennis,Apidae
Trigona sp2,Apidae
Trigona spinipes,Apidae
"Trigona spinipes Fabricius, 1793",Apidae
Trypoxylon clavicerum ,Crabronidae
Typhedanus undulatus,Hesperiidae
Unknown,Unknown
Unknown bee sp. 13,Apoidae
Unknown cuckoo bee,Apoidea fam.
Unknown syrphid sp. 2,Syrphidae
Unknown wasp sp. 11,Vespidae
Unknown wasp sp. 13,Vespidae
Unknown wasp sp. 14,Vespidae
Unknown wasp sp. 15,Vespidae
Unknown wasp sp. 16,Vespidae
Unknown wasp sp. 18,Vespidae
Unknown wasp sp. 19,Vespidae
Unknown wasp sp. 2,Vespidae
Unknown wasp sp. 20,Vespidae
Unknown wasp sp. 21,Vespidae
Unknown wasp sp. 25,Vespidae
Unknown wasp sp. 26,Vespidae
Unknown wasp sp. 3,Vespidae
Unknown wasp sp. 30,Vespidae
Unknown wasp sp. 5,Vespidae
Unknown wasp sp. 7,Vespidae
Unknown wasp sp. 9,Vespidae
Utetheisa pulchella,Arctiidae
Vanessa braziliensis,Nymphalidae
Vanessa carye,Nymphalidae
Vespa analis,Vespidae
Vespa crabro,Vespidae
Vespa ducalis,Vespidae
Vespa simillima,Vespidae
Vespa velutina,Vespidae
Vespid,Vespidae
Vespidae,NA
Vespidae sp 1,Vespidae
Vespidae sp.,Vespidae
vespidae sp.1,Vespidae
Vespidae sp.1,Vespidae
Vespidae sp.2,Vespidae
Vespidae sp.5,Vespidae
Vespidae sp.6,Apidae
Vespidae sp.6,Vespidae
Vespidae sp1,Vespidae
Vespidae sp2,Vespidae
Vespidae sp3,Vespidae
Vespidae_sp_,Vespidae
Vespidae_yellowbody,Vespidae
vespids,NA
Vespula flaviceps,Vespidae
Vespula germanica ,NA
Vespula koreensis,Vespidae
Vespula sp. 1,Vespidae
Villa sp. ,Bombyliidae
Volucella bombylans,Syrphidae
Volucella bombylans,NA
Wasp,Hymenoptera (order)
Wasp sp.,Vespidae
Weevil,Curculionoidea
Wild bee,Hymenoptera (order)
Wild_Bees,Apoidea
wilde bij (klein),Apoidae
Xeromelecta californica,Anthophoridae
Xylocopa (Stenoxylocopa) sp1.,Apidae
Xylocopa aestuans,Apidae
Xylocopa aestuans/ Xylocopa latipes,Apidae
Xylocopa appendiculata circumvolans,Apidae
Xylocopa augusti,Apidae
Xylocopa cearensis,Apidae
Xylocopa cearensis  ,Apidae
Xylocopa cearensis ,Apidae
Xylocopa ciliata,Apidae
Xylocopa eximia,Megachilidae
Xylocopa flavorufa (DeGeer),Apidae
Xylocopa frontalis,Apidae
Xylocopa griscescens,Apidae
Xylocopa inconstans,Apidae
Xylocopa macrops,Apidae
Xylocopa micans,Apidae
Xylocopa muscaria,Apidae
Xylocopa N. grisescens,Apidae
Xylocopa negro,Megachilidae
Xylocopa rufipes,Apidae
Xylocopa schonherria,Apidae
Xylocopa sp 1,Xylocopinae
Xylocopa sp.,Apidae
Xylocopa splendidula,Apidae
Xylocopa tranquabarorum,Apidae
Xylocopa violacea,Apidae
Xylocopa virginica,Apidae
Xylocopa_sp1,Apidae
Xylota_ segnis,Syrphidae
Xylota_tarda,Syrphidae
Zenillia albipila,Tachinidae
Zizeeria maha,Lycaenidae
NA,NA
NA,Apidae
NA,Syrphidae
NA,Arctiidae
NA,Hesperidae
NA,Noctuidae
NA,Nymphalidae
NA,Papilionidae
NA,Pyralidae
NA,Sphingidae
